,,277,47,85,250,130,當季精選,Specialty,青仁黑豆茶, Black Bean,-,-,,,,,,,
,362,61,100,,,哥倫比亞,Colombia , Kogui 雪峰, Kogui Snow Cap,水洗,Washed,Specialty ,熟甜、花香、蜜甜、太妃糖、薄荷、柑橘香、糖蜜、麥茶、烏龍茶、葡萄柚酸、烏梅,Typica,,,,
,362,61,100,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,阿杜莉那 科契爾,Kochere Adulina,水洗,Washed,G1,茉莉花香、檸檬、茶感 、蘋果酸、柑橘酸香、飽滿厚實。,Heirloom ,,,,
,372,62,105,,,衣索比亞,Ethiopia ,阿杜莉納 哈拉摩卡,Harra Mocha Adulina,日曬,Natural,G4,日曬果香味，柑橘甜香、藍莓酸香、肉桂，香氣龐雜。 酒酸,質感厚重,,,,,,
,202,34,60,,,瓜地馬拉,Guatemala ,薇薇特南果EP,Huehuetenango EP,水洗,Washed,SHB,果香，甜桃、草莓、柳橙、柑橘等果類,,,,,
,272,46,80,,,瓜地馬拉,Guatemala ,科班 狄亞曼特 , Los Diamantes Highland ,水洗,Washed,SHB,鮮明微妙的酸味，淡葡萄酒香，巧克力、 焦糖、多層次水果甜。,Caturra, Catuai,,,,
'圓石' April, 2014,385,65,110,,,肯亞 ,Kenya,凱莉米庫,Karimikui,水洗,Washed, AB TOP,柑橘，漿果和黑醋栗香氣，榛子，番石榴，李子，柚子充滿活力的酸度，含有圓潤的蜂蜜甜味,Sweet Maria’ s 90 分,Coffee Review 95 分,產區  Kirinyaga，Githure  村,海拔  1,900  公尺,品種  SL28, K7
'圓石' April, 2014,345,58,95,,,巴拿馬,Panama,哈特曼莊園 ,Finca Hartmann,水洗,Washed,,Vibrant toffee and hazelnut aroma, soft floral and berries note, medium green apple-like acidity with creamy big body, nice sweetness, long aftertaste,品種 Caturra,Typica,產區  Chiriqui,海拔  1,260 – 1,500 公尺,鳥類友善、林蔭栽培,
'圓石' April, 2014,370,62,105,,,瓜地馬拉,Guatemala,番石榴平原莊園  帕卡瑪拉種,Plan Del Guayabo Estate Pacamara,蜜處理,Honey,,Chocolate and honey in aroma, mild fruit, balanced, tropical fruit-like acidity, soft florals, milk chocolate, toffee sweetness, medium body,產區  Chiriqui,海拔  1,650 – 1,700 公尺,,,
'圓石' April, 2014,335,56,95,,,盧安達,Rwanda,穆瓦莎處理廠,Nyamasheke Mwasa Station,水洗,Washed,,Rich stone fruit, sugary, blood orange, crisp acidity, juicy.,Bourbon、Typica,,,,
'圓石' April, 2014,215,36,65,,,巴西,Brazil,伯利恆農場  小農批次,azenda Belem,日曬,Natural,, 柑橘..乾淨清爽果香氣..帶點苺果氣息,,,,,
'圓石' April, 2014,265,45,75,,,衣索比亞,Ethiopia ,西達莫  AMB,Sidamo AMB,水洗,Washed,G2,,,,,,
艾卡 May, 2014,410,69,120,,,衣索比亞, Ethiopia ,利姆 尼古斯內瑪, Limu Nigusie Lemma,,Natural, G3,複雜的香衫味、輕柔的柑橘、李子、糖水、淡淡的酒香氣。,,,,,
艾卡 May, 2014,290,49,85,,,哥斯大黎加,Costa Rica,葉爾莎  卡洛斯小農  薇拉沙奇特選,Helsar de Zarcero Carlos Alpizar,水洗,Washed,SHB,淺焙帶有 青草、奶油、堅果、酸甜平衡，深焙轉為 黑巧克力 焦糖的氣息。,,,,,
艾卡 May, 2014,410,69,120,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,畢洛亞合作社 ,Biloya Coop,水洗,Washed,G2,柑橘果酸明亮、瓜甜清爽、茉莉花香、桃子杏仁甜感。。,,,,,
艾卡 May, 2014,360,60,105,,,衣索比亞,Ethiopia ,西達摩 戈壁,Sidamo Gorbe  ,日曬,Natural,G3,奶油、香草、橙橘類水果調性、中深焙迷人的木質芳香、巧克力的厚實口感。,,,,,
艾卡 May, 2014,250,42,75,,,印尼 蘇門答臘,Indonesia Sumatra ,曼特寧 三次手選,Mandheling TP,半水洗         ,   Giling Basah ,   G1,青草、杉本香特性外，還帶有黑巧克力、橙皮、梨子的氣味，焦糖 土司 堅果　草藥香料,,,,,
'圓石' May, 2014,380,64,125,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡合作社  貝哈圖小農,Worka BEDHATU JIBICHO,日曬,Natural,   G1,柑橘調、橙色水果、糖漿、平衡的酸質、香味飽滿、柔滑的口感。,,,,,
'圓石' May, 2014,380,64,125,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡合作社  阿利姆小農,Worka ALEMU TUKULA GP,日曬,Natural,   G1,複雜的水果、柑橘莓果調、黑醋栗、糖漿，花朵香氣、青蘋果般的明亮酸度、可可滑順口感,,,,,
'聯傑' May, 2014,310,52,90,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 科契爾,Kochere,水洗,Washed,G1,茉莉花香、檸檬、茶感 、蘋果酸、柑橘酸香、飽滿厚實。,CoffeeReview 94分,海拔1800~2100公尺,,,
'聯傑' May, 2014,375,63,110,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,莉可合作社  ,Reko Coop,日曬,Natural,G3,熟桃、木瓜、哈密瓜、藍莓，酸度低而有豐郁溫潤質感。,紅櫻桃計劃,海拔1850~2100公尺,產區:科契爾Kochere,,
'聯傑' May, 2014,240,40,70,,,薩爾瓦多, Salvador,布宜諾斯 艾莉絲莊園,Buenos Aires ,水洗,Washed,,黑麥、奶油堅果、蔗糖甜  平順溫潤口感。,100%波旁,海拔1200~1550公尺,產區:聖塔安娜 Santa Ana,,
'聯傑' May, 2014,230,39,70,,,蒲隆地  ,Burundi,非洲之心  加蘇拉處理廠,Gasura,水洗,Washed,AA,茶香、橘皮、乳脂巧克力、荳蔻、葡萄乾、普洱茶口感。,海拔1300-1800公尺,產區:奇朗多 Kirundo,,,
'圓石' May, 2014,355,60,105,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,艾瑞莎, Aricha,日曬,Natural,   G1,藍莓、芒果、鳳梨、黃金奇異果、優雅酸甜,,,,,
